wallet,totalDepositedUSD,totalBorrowedUSD,totalRepaidUSD,totalWithdrawnUSD,activityCount,uniqueTokens,creditScore
0x004d71c111862702272e6beccdaafb07c9b96c37,1.4330407272749363e+18,1.5512155170901932e+18,1.5925155314938368e+18,0,276,6,850.0
0x004f137c71b3003c7915bd6aa3a4f57e334a738e,0.0,0.0,0.0,0,5,3,300.00000000000006
0x004f9b61222bcb6214b7dcd87ebafa0ac2c74440,1.1027226706835471,0.0,0.0,0,1,1,300.00000000000006
0x0051337e53823325b9df640f8bac7c7a7dcc4b19,1.106222911532575,0.0,0.0,0,1,1,300.00000000000006
0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,2309.439182308292,97157507650567.75,98283849911390.3,0,68,7,300.0
0x0051e6e6cde6392c01b4cf6b97d9f5c50ec9817c,2587.282532614055,290800019271584.5,580487088800839.6,0,42,6,301.89630400761064
0x0051ed91501bdefede70975ec9459a0dd3c5657b,46.33275158924738,10098626311162.082,0.0,0,3,2,300.0
0x00520ddda78809f725ba3ac696fc8dbe9ccaef91,2052229020395.4912,0.0,0.0,0,2,1,300.0134443097181
0x00526e91ec022d8596bda04092071c1da6b5322e,1062347006752.9281,49928942346445.36,47053112777476.0,0,7,2,300.0
0x0052c9f2cc95f743412d6daaf3c93bcd1793479d,10071266299165.805,2016193398144.5566,4.4417598616994045,0,9,3,300.04748610535984
0x0052d655d117dae79d897213af1d4393ab32c739,1.1061644097218593,0.0,0.0,0,1,1,300.00000000000006
0x005399ba80babd299512e9efb4e0e764f673405c,0.09736008065000015,0.0,0.0,0,1,1,300.0
0x0053b5daa6d4c2e3d16f2b9c10dc04e92b14a818,104063.80673864309,40787.764600253984,31357.72536050741,0,57,7,300.0000000005544
0x00548bf85d26850ad7ad55ca90ba02572349f648,0.11191814376473717,0.011191814376473716,0.0,0,2,1,300.00000000000006
0x0054b73e9add0a26ca2a81635c6ec0a0eb75b77f,0.18267460351134587,0.0,0.0,0,1,1,300.00000000000006
0x00552481817c28f473f4cc61538db6536015d906,2.259609878203448,0.0,0.0,0,2,1,300.00000000000006
0x00553b963de06016c68681c9bee10a79c51c5d8a,24973743027014.723,0.0,0.0,0,2,2,300.1636049060504
